"OSM_ID";"time";"Speed";"GPS.Bearing"
30117314;2013-07-03 13:58:45;43;0
30117312;2013-07-03 13:58:50;37;0
30117312;2013-07-03 13:58:55;7;0
30117312;2013-07-03 13:59:05;11;0
30117313;2013-07-03 13:59:15;28;0
161302221;2013-07-03 13:59:20;46;0
30135244;2013-07-03 13:59:25;58;0
30284179;2013-07-03 13:59:30;63;0
30284179;2013-07-03 13:59:35;58;0
30284179;2013-07-03 13:59:40;57;0
30284179;2013-07-03 13:59:45;63;0
30284179;2013-07-03 13:59:50;68;0
30284179;2013-07-03 13:59:55;67;0
30284179;2013-07-03 14:00:00;68;0
30284179;2013-07-03 14:00:05;67;0
30284179;2013-07-03 14:00:11;66;0
30284179;2013-07-03 14:00:16;45;0
30284179;2013-07-03 14:00:21;55;0
30284179;2013-07-03 14:00:26;68;0
30284179;2013-07-03 14:00:31;76;0
30284179;2013-07-03 14:00:36;76;0
30284179;2013-07-03 14:00:41;76;0
30284179;2013-07-03 14:00:46;76;0
30284179;2013-07-03 14:00:51;77;0
30284179;2013-07-03 14:00:56;78;0
30284179;2013-07-03 14:01:01;80;0
30284179;2013-07-03 14:01:06;78;0
30284179;2013-07-03 14:01:11;75;0
30284179;2013-07-03 14:01:16;73;0
30284179;2013-07-03 14:01:21;75;0
30284179;2013-07-03 14:01:26;71;0
157020142;2013-07-03 14:01:31;68;0
30284179;2013-07-03 14:01:37;70;0
30284179;2013-07-03 14:01:42;71;0
30284179;2013-07-03 14:01:47;68;0
30284179;2013-07-03 14:01:52;70;0
30284179;2013-07-03 14:01:57;71;0
30284179;2013-07-03 14:02:02;70;0
30284179;2013-07-03 14:02:07;70;0
30284179;2013-07-03 14:02:12;67;0
30284179;2013-07-03 14:02:17;71;0
30284179;2013-07-03 14:02:22;67;0
30284179;2013-07-03 14:02:27;68;0
30284179;2013-07-03 14:02:32;68;0
30284179;2013-07-03 14:02:37;67;0
30284179;2013-07-03 14:02:42;68;0
30284179;2013-07-03 14:02:47;68;0
30284174;2013-07-03 14:02:52;68;0
44839563;2013-07-03 14:02:58;68;0
83602400;2013-07-03 14:03:03;68;0
44839563;2013-07-03 14:03:08;68;0
44839563;2013-07-03 14:03:13;68;0
44839563;2013-07-03 14:03:18;67;0
44839563;2013-07-03 14:03:23;65;0
44839563;2013-07-03 14:03:28;67;0
24719463;2013-07-03 14:03:33;67;0
24719463;2013-07-03 14:03:38;67;0
24719463;2013-07-03 14:03:43;68;0
24719463;2013-07-03 14:03:48;67;0
24252160;2013-07-03 17:10:20;1;0
24252160;2013-07-03 17:10:27;2;0
24252160;2013-07-03 17:10:32;12;0
24252160;2013-07-03 17:10:39;39;0
24252162;2013-07-03 17:10:44;21;0
293797105;2013-07-03 17:10:51;53;0
293797105;2013-07-03 17:10:57;57;0
293797105;2013-07-03 17:11:04;51;0
293797105;2013-07-03 17:11:09;18;0
293797106;2013-07-03 17:11:45;5;0
293797106;2013-07-03 17:11:52;23;0
293797106;2013-07-03 17:11:57;46;0
293797106;2013-07-03 17:12:04;57;0
293797100;2013-07-03 17:12:09;75;0
293797100;2013-07-03 17:12:17;72;0
293797100;2013-07-03 17:12:22;69;0
293797100;2013-07-03 17:12:29;53;0
293797100;2013-07-03 17:12:34;21;0
293797100;2013-07-03 17:13:22;19;0
293797100;2013-07-03 17:13:29;54;0
293797100;2013-07-03 17:13:35;66;0
293797100;2013-07-03 17:13:42;68;0
293797100;2013-07-03 17:13:47;72;0
293797100;2013-07-03 17:13:54;71;0
293797100;2013-07-03 17:13:59;71;0
293797100;2013-07-03 17:14:06;68;0
293797100;2013-07-03 17:14:11;70;0
293797100;2013-07-03 17:14:18;64;0
293797100;2013-07-03 17:14:23;56;0
293797100;2013-07-03 17:14:30;49;0
293797100;2013-07-03 17:14:35;53;0
293797100;2013-07-03 17:14:42;53;0
293797100;2013-07-03 17:14:47;50;0
293797100;2013-07-03 17:14:54;42;0
293797100;2013-07-03 17:15:00;11;0
293797100;2013-07-03 17:16:07;10;0
293797100;2013-07-03 17:16:12;23;0
293797100;2013-07-03 17:16:20;27;0
293797100;2013-07-03 17:16:25;16;0
293797100;2013-07-03 17:16:32;22;0
293797100;2013-07-03 17:16:37;34;0
293797100;2013-07-03 17:16:44;34;0
293797100;2013-07-03 17:16:49;31;0
293797100;2013-07-03 17:16:56;29;0
293797100;2013-07-03 17:17:01;12;0
293797100;2013-07-03 17:17:38;26;0
293797100;2013-07-03 17:17:45;27;0
293797100;2013-07-03 17:17:50;45;0
293797100;2013-07-03 17:17:57;35;0
293797100;2013-07-03 17:18:02;45;0
293797100;2013-07-03 17:18:09;37;0
293797100;2013-07-03 17:18:14;39;0
293797100;2013-07-03 17:18:21;18;0
293797100;2013-07-03 17:18:33;11;0
293797100;2013-07-03 17:18:38;32;0
293797100;2013-07-03 17:18:45;35;0
293797100;2013-07-03 17:18:51;32;0
293797100;2013-07-03 17:18:58;37;0
293797100;2013-07-03 17:19:03;24;0
293797100;2013-07-03 17:19:10;38;0
293797100;2013-07-03 17:19:15;34;0
293797100;2013-07-03 17:19:22;22;0
293797100;2013-07-03 17:19:27;3;0
293797100;2013-07-03 17:19:51;22;0
293797100;2013-07-03 17:19:58;21;0
293797100;2013-07-03 17:20:03;14;0
293797100;2013-07-03 17:20:11;7;0
293797100;2013-07-03 17:20:23;19;0
293797100;2013-07-03 17:20:28;31;0
293797100;2013-07-03 17:20:35;30;0
293797100;2013-07-03 17:20:40;35;0
293797100;2013-07-03 17:20:47;29;0
293797100;2013-07-03 17:20:52;33;0
293797100;2013-07-03 17:20:59;25;0
293797100;2013-07-03 17:21:04;6;0
293797100;2013-07-03 17:21:11;5;0
293797100;2013-07-03 17:21:16;26;0
293797100;2013-07-03 17:21:23;27;0
293797100;2013-07-03 17:21:29;28;0
293797100;2013-07-03 17:21:36;23;0
293797100;2013-07-03 17:21:41;35;0
293797100;2013-07-03 17:21:48;34;0
293797100;2013-07-03 17:21:53;31;0
293797100;2013-07-03 17:22:00;32;0
293797100;2013-07-03 17:22:05;40;0
293797100;2013-07-03 17:22:12;36;0
293797100;2013-07-03 17:22:17;35;0
293797100;2013-07-03 17:22:24;39;0
293797100;2013-07-03 17:22:29;26;0
293797100;2013-07-03 17:22:36;5;0
293797100;2013-07-03 17:22:41;23;0
293797100;2013-07-03 17:22:49;33;0
293797100;2013-07-03 17:22:54;14;0
293797100;2013-07-03 17:23:37;13;0
293797100;2013-07-03 17:23:42;22;0
293797100;2013-07-03 17:23:49;42;0
293797100;2013-07-03 17:23:54;42;0
293797100;2013-07-03 17:24:01;39;0
293797100;2013-07-03 17:24:07;45;0
293797100;2013-07-03 17:24:14;45;0
293797100;2013-07-03 17:24:19;32;0
293797100;2013-07-03 17:24:26;31;0
293797100;2013-07-03 17:24:31;1;0
293797100;2013-07-03 17:24:38;2;0
293797100;2013-07-03 17:24:43;20;0
293797100;2013-07-03 17:24:50;9;0
293797100;2013-07-03 17:24:55;3;0
293797100;2013-07-03 17:25:02;19;0
293797100;2013-07-03 17:25:07;20;0
293797100;2013-07-03 17:25:14;18;0
293797100;2013-07-03 17:25:19;17;0
293797100;2013-07-03 17:25:27;7;0
293797100;2013-07-03 17:25:32;9;0
293797100;2013-07-03 17:25:39;7;0
293797100;2013-07-03 17:25:44;21;0
293797100;2013-07-03 17:25:51;20;0
293797100;2013-07-03 17:25:56;16;0
293797100;2013-07-03 17:26:03;17;0
293797100;2013-07-03 17:26:08;11;0
293797100;2013-07-03 17:26:15;6;0
293797100;2013-07-03 17:26:20;4;0
293797100;2013-07-03 17:26:27;2;0
293797100;2013-07-03 17:26:32;1;0
293797100;2013-07-03 17:26:39;9;0
293797100;2013-07-03 17:26:44;2;0
293797100;2013-07-03 17:26:52;15;0
293797100;2013-07-03 17:26:57;14;0
293797100;2013-07-03 17:27:04;8;0
293797100;2013-07-03 17:27:09;21;0
293797100;2013-07-03 17:27:16;10;0
293797100;2013-07-03 17:27:21;3;0
293797100;2013-07-03 17:27:28;1;0
22776548;2013-07-03 05:49:48;19;0
22776548;2013-07-03 05:49:55;22;0
22776548;2013-07-03 05:50:00;24;0
22776548;2013-07-03 05:50:07;27;0
22776548;2013-07-03 05:50:12;18;0
22776548;2013-07-03 05:50:19;8;0
22776548;2013-07-03 05:50:24;28;0
22776548;2013-07-03 05:50:31;24;0
22776548;2013-07-03 05:50:36;14;0
22776548;2013-07-03 05:50:43;21;0
22776548;2013-07-03 05:50:49;15;0
22776548;2013-07-03 05:50:56;15;0
22776548;2013-07-03 05:51:01;27;0
22776548;2013-07-03 05:51:08;20;0
22776548;2013-07-03 05:51:13;10;0
28720680;2013-07-03 05:51:20;38;0
23690579;2013-07-03 05:51:25;40;0
28720675;2013-07-03 05:51:32;38;0
28720675;2013-07-03 05:51:37;38;0
7957532;2013-07-03 05:51:44;43;0
7957532;2013-07-03 05:51:49;48;0
240524738;2013-07-03 05:51:56;48;0
240524738;2013-07-03 05:52:01;57;0
240524738;2013-07-03 05:52:08;62;0
7957534;2013-07-03 05:52:13;38;0
168210215;2013-07-03 05:52:20;53;0
168210215;2013-07-03 05:52:26;54;0
7957530;2013-07-03 05:52:33;47;0
7957530;2013-07-03 05:52:38;18;0
7957530;2013-07-03 05:52:45;38;0
7957530;2013-07-03 05:52:50;29;0
7957530;2013-07-03 05:52:57;12;0
7957530;2013-07-03 05:53:02;27;0
7957530;2013-07-03 05:53:09;22;0
7957530;2013-07-03 05:53:14;30;0
7957530;2013-07-03 05:53:21;39;0
7957530;2013-07-03 05:53:26;20;0
7957530;2013-07-03 05:53:33;30;0
7957530;2013-07-03 05:53:38;27;0
7957530;2013-07-03 05:53:45;21;0
7957530;2013-07-03 05:53:50;39;0
7957530;2013-07-03 05:53:57;30;0
7957530;2013-07-03 05:54:03;30;0
7957530;2013-07-03 05:54:10;13;0
7957530;2013-07-03 05:54:15;42;0
7957530;2013-07-03 05:54:22;50;0
7957530;2013-07-03 05:54:27;51;0
7957530;2013-07-03 05:54:34;46;0
7957530;2013-07-03 05:54:39;42;0
7957530;2013-07-03 05:54:46;30;0
7957530;2013-07-03 05:54:51;38;0
7957530;2013-07-03 05:54:58;49;0
7957530;2013-07-03 05:55:03;43;0
7957530;2013-07-03 05:55:10;27;0
7957530;2013-07-03 05:55:34;18;0
7957530;2013-07-03 05:55:40;53;0
7957530;2013-07-03 05:55:47;58;0
7957530;2013-07-03 05:55:52;58;0
7957530;2013-07-03 05:55:59;58;0
7957530;2013-07-03 05:56:04;42;0
7957530;2013-07-03 05:56:11;23;0
7957530;2013-07-03 05:56:16;43;0
7957530;2013-07-03 05:56:23;38;0
7957530;2013-07-03 05:56:28;42;0
7957530;2013-07-03 05:56:35;33;0
7957530;2013-07-03 05:56:40;35;0
7957530;2013-07-03 05:56:47;22;0
7957530;2013-07-03 05:56:52;11;0
7957530;2013-07-03 05:56:59;18;0
7957530;2013-07-03 05:57:04;17;0
7957530;2013-07-03 05:57:11;7;0
142491867;2013-07-02 18:27:14;18;0
133083965;2013-07-02 18:27:21;17;0
